"","Subject","Educ","Income2005"
"1",2,"12",5500
"2",6,"16",65000
"3",7,"12",19000
"4",8,"13-15",36000
"5",9,"13-15",65000
"6",13,"16",8000
"7",16,"13-15",71000
"8",17,"13-15",43000
"9",18,"13-15",120000
"10",20,">16",64000
"11",21,"16",253043
"12",22,"16",45300
"13",29,"12",85000
"14",34,"13-15",150432
"15",37,"12",37000
"16",38,"12",70000
"17",39,"12",67000
"18",41,"13-15",120000
"19",42,"12",45000
"20",44,"12",7200
"21",46,">16",42000
"22",47,"12",66309
"23",49,"13-15",34000
"24",57,"12",12000
"25",58,">16",55500
"26",61,"13-15",63000
"27",62,"13-15",30000
"28",63,"16",108000
"29",69,">16",120000
"30",73,">16",186135
"31",78,"16",14657
"32",86,"<12",14000
"33",87,"12",17000
"34",89,"16",62000
"35",97,"13-15",49000
"36",105,"12",40000
"37",106,"16",105000
"38",107,"16",43000
"39",117,"13-15",83000
"40",119,"16",12000
"41",120,"16",150000
"42",121,">16",41000
"43",126,"13-15",85000
"44",129,"16",80000
"45",133,"12",52000
"46",137,"16",175829
"47",138,"16",8000
"48",139,"13-15",120000
"49",140,">16",65000
"50",141,">16",44768
"51",143,"13-15",52000
"52",145,"12",10000
"53",146,"12",50000
"54",147,"13-15",12000
"55",148,"12",21800
"56",149,"12",95000
"57",152,"12",85000
"58",156,"<12",14000
"59",158,">16",35100
"60",160,"13-15",65000
"61",162,">16",76000
"62",165,"12",50000
"63",166,"13-15",82000
"64",174,"13-15",48000
"65",179,"12",29000
"66",184,"16",6000
"67",185,"12",34000
"68",186,">16",65000
"69",188,"<12",15000
"70",190,">16",92000
"71",191,">16",118000
"72",192,"16",26000
"73",193,"16",105000
"74",195,">16",348204
"75",197,"12",17000
"76",198,">16",130000
"77",199,"12",38000
"78",200,"12",35000
"79",201,"16",16000
"80",202,"13-15",55000
"81",207,"12",32000
"82",210,"16",50000
"83",218,"16",261763
"84",219,">16",102000
"85",220,">16",105000
"86",228,"<12",1600
"87",230,"13-15",55000
"88",232,"13-15",45000
"89",233,"12",39000
"90",234,"12",140000
"91",235,"13-15",98000
"92",236,"13-15",30000
"93",239,"<12",9000
"94",240,"12",38000
"95",242,"12",75000
"96",243,"12",94600
"97",244,"12",5000
"98",245,"13-15",25000
"99",247,">16",79000
"100",248,"13-15",2000
"101",253,"<12",20000
"102",256,"13-15",3000
"103",257,"12",22000
"104",259,"12",14000
"105",260,"13-15",65000
"106",269,"16",154541
"107",273,"13-15",61500
"108",274,"13-15",45000
"109",275,"13-15",52000
"110",279,"12",64500
"111",281,">16",99000
"112",282,"16",14000
"113",283,"12",53000
"114",284,"12",90000
"115",285,"<12",35000
"116",290,"<12",19000
"117",294,"12",12000
"118",299,"<12",25000
"119",306,"13-15",40000
"120",310,"12",70000
"121",313,"<12",37000
"122",317,"16",31500
"123",321,"16",69000
"124",323,"12",80000
"125",324,"<12",23000
"126",327,"16",28000
"127",335,"13-15",10000
"128",341,"13-15",125000
"129",342,">16",96000
"130",346,"16",120000
"131",348,"12",164307
"132",350,">16",100000
"133",351,"12",39000
"134",354,"12",9600
"135",355,"13-15",120000
"136",356,"<12",50000
"137",357,"16",80000
"138",358,"16",110000
"139",359,"16",60000
"140",360,">16",34000
"141",362,"12",48000
"142",367,"16",58000
"143",369,"16",12000
"144",370,"16",20000
"145",373,"12",9000
"146",375,"12",17500
"147",376,">16",47000
"148",377,"12",10000
"149",381,"12",105000
"150",385,"12",41500
"151",386,"12",43000
"152",388,"13-15",70000
"153",391,"12",35000
"154",392,"12",60000
"155",393,"13-15",68000
"156",399,">16",62500
"157",400,"16",75000
"158",401,"12",11500
"159",405,"13-15",26000
"160",408,"12",68000
"161",409,"16",180733
"162",410,"12",31085
"163",411,"12",16000
"164",414,"13-15",21000
"165",418,"13-15",28000
"166",422,">16",55000
"167",426,"12",82000
"168",433,"12",21528
"169",434,"12",59000
"170",437,"12",22000
"171",438,"13-15",36000
"172",439,"16",77000
"173",442,"13-15",15000
"174",443,"13-15",47000
"175",444,"16",1500
"176",445,"16",40000
"177",446,"12",32000
"178",449,"12",14000
"179",453,"13-15",40300
"180",456,">16",50000
"181",457,"16",53000
"182",458,">16",65000
"183",459,">16",10000
"184",460,"13-15",21400
"185",461,"16",85000
"186",464,"13-15",78000
