"","Subject","Educ","Income2005"
"1",2,12,5500
"2",6,16,65000
"3",7,12,19000
"4",13,16,8000
"5",21,16,253043
"6",22,16,45300
"7",29,12,85000
"8",37,12,37000
"9",38,12,70000
"10",39,12,67000
"11",42,12,45000
"12",44,12,7200
"13",47,12,66309
"14",57,12,12000
"15",63,16,108000
"16",78,16,14657
"17",87,12,17000
"18",89,16,62000
"19",105,12,40000
"20",106,16,105000
"21",107,16,43000
"22",119,16,12000
"23",120,16,150000
"24",129,16,80000
"25",133,12,52000
"26",137,16,175829
"27",138,16,8000
"28",145,12,10000
"29",146,12,50000
"30",148,12,21800
"31",149,12,95000
"32",152,12,85000
"33",165,12,50000
"34",179,12,29000
"35",184,16,6000
"36",185,12,34000
"37",192,16,26000
"38",193,16,105000
"39",197,12,17000
"40",199,12,38000
"41",200,12,35000
"42",201,16,16000
"43",207,12,32000
"44",210,16,50000
"45",218,16,261763
"46",233,12,39000
"47",234,12,140000
"48",240,12,38000
"49",242,12,75000
"50",243,12,94600
"51",244,12,5000
"52",257,12,22000
"53",259,12,14000
"54",269,16,154541
"55",279,12,64500
"56",282,16,14000
"57",283,12,53000
"58",284,12,90000
"59",294,12,12000
"60",310,12,70000
"61",317,16,31500
"62",321,16,69000
"63",323,12,80000
"64",327,16,28000
"65",346,16,120000
"66",348,12,164307
"67",351,12,39000
"68",354,12,9600
"69",357,16,80000
"70",358,16,110000
"71",359,16,60000
"72",362,12,48000
"73",367,16,58000
"74",369,16,12000
"75",370,16,20000
"76",373,12,9000
"77",375,12,17500
"78",377,12,10000
"79",381,12,105000
"80",385,12,41500
"81",386,12,43000
"82",391,12,35000
"83",392,12,60000
"84",400,16,75000
"85",401,12,11500
"86",408,12,68000
"87",409,16,180733
"88",410,12,31085
"89",411,12,16000
"90",426,12,82000
"91",433,12,21528
"92",434,12,59000
"93",437,12,22000
"94",439,16,77000
"95",444,16,1500
"96",445,16,40000
"97",446,12,32000
"98",449,12,14000
"99",457,16,53000
"100",461,16,85000
"101",465,12,12000
"102",467,16,20000
"103",470,12,46000
"104",479,16,86000
"105",484,12,30000
"106",485,12,12000
"107",486,12,196424
"108",491,12,20000
"109",496,16,25000
"110",502,12,90000
"111",503,12,23000
"112",505,12,28000
"113",506,16,43000
"114",520,16,73000
"115",535,12,20000
"116",540,12,60000
"117",543,12,98000
"118",548,12,15000
"119",550,12,22000
"120",553,16,10000
"121",594,12,80000
"122",608,16,27000
"123",609,16,32000
"124",612,16,46136
"125",613,12,95000
"126",616,12,25000
"127",632,12,4000
"128",636,12,40000
"129",639,12,35000
"130",640,12,42000
"131",645,16,163172
"132",646,12,12500
"133",647,12,61000
"134",650,16,58000
"135",662,12,22000
"136",663,16,85000
"137",665,16,30000
"138",669,12,29000
"139",671,16,10000
"140",674,12,50000
"141",679,12,20000
"142",681,12,5000
"143",684,12,72000
"144",697,12,50000
"145",703,12,3000
"146",709,12,41167
"147",711,12,40000
"148",713,12,11000
"149",717,12,40000
"150",719,12,48000
"151",720,12,35000
"152",723,12,25000
"153",728,12,30000
"154",731,12,40000
"155",732,12,35000
"156",745,12,41000
"157",747,12,50300
"158",751,16,55000
"159",755,12,37000
"160",756,12,26000
"161",758,12,20000
"162",762,12,12000
"163",763,12,23000
"164",769,12,3000
"165",772,12,74000
"166",777,16,85000
"167",789,12,15000
"168",792,16,30000
"169",793,16,30000
"170",796,16,58000
"171",797,12,72000
"172",799,12,53000
"173",802,12,30000
"174",806,12,35000
"175",807,16,70000
"176",810,16,115000
"177",812,16,10500
"178",814,12,16000
"179",815,12,23400
"180",816,16,29000
"181",817,16,117000
"182",820,16,85000
"183",832,12,20000
"184",843,12,3000
"185",847,16,67500
"186",849,12,20000
"187",851,12,48000
"188",854,12,22000
"189",859,12,46000
"190",860,12,37500
"191",861,12,29000
"192",863,12,125000
"193",866,12,36000
"194",872,16,176354
"195",875,12,40000
"196",878,12,50000
"197",881,16,8000
"198",882,16,42000
"199",885,16,37000
"200",888,12,50000
"201",891,12,36000
"202",896,16,15000
"203",898,16,40000
"204",908,16,37000
"205",912,16,34000
"206",914,12,71500
"207",916,16,20000
"208",920,16,120000
"209",922,12,90000
"210",929,12,42000
"211",932,12,30000
"212",935,12,9800
"213",938,12,38500
"214",942,12,43000
"215",945,16,37300
