"","Agent","Treatment","Route","DaysPost","BAT","LH"
"1","AIB","NS","IV",8,12025,10510
"2","AIB","NS","IV",12,10327,10345
"3","AIB","NS","IV",16,15852,13255
"4","MTX","NS","IV",8,3995,1285
"5","MTX","NS","IV",12,1786,1077
"6","MTX","NS","IV",16,1828,1731
"7","DEX70","NS","IV",8,6097,7997
"8","DEX70","NS","IV",12,4684,5721
"9","DEX70","NS","IV",16,7927,7120
"10","AIB","BD","IV",8,70034,10611
"11","AIB","BD","IV",12,129134,12311
"12","AIB","BD","IV",16,156655,178303
"13","MTX","BD","IV",8,10049,1388
"14","MTX","BD","IV",12,10540,1781
"15","MTX","BD","IV",16,4808,1680
"16","DEX70","BD","IV",8,109594,11191
"17","DEX70","BD","IV",12,23254,7325
"18","DEX70","BD","IV",16,17224,7996
"19","AIB","NS","IA",8,20870,8944
"20","AIB","NS","IA",12,27708,9242
"21","AIB","NS","IA",16,22006,7237
"22","MTX","NS","IA",8,5598,1724
"23","MTX","NS","IA",12,2393,1070
"24","MTX","NS","IA",16,5076,1228
"25","DEX70","NS","IA",8,18172,8148
"26","DEX70","NS","IA",12,20636,6041
"27","DEX70","NS","IA",16,15959,7016
"28","AIB","BD","IA",8,129747,9992
"29","AIB","BD","IA",12,68775,6316
"30","AIB","BD","IA",16,53808,4333
"31","MTX","BD","IA",8,9683,1424
"32","MTX","BD","IA",12,23173,1520
"33","MTX","BD","IA",16,22293,1777
"34","DEX70","BD","IA",8,159458,13460
"35","DEX70","BD","IA",12,45550,9113
"36","DEX70","BD","IA",16,96754,8070
