"","Salary","Sex"
"1",3900,"Female"
"2",4020,"Female"
"3",4290,"Female"
"4",4380,"Female"
"5",4380,"Female"
"6",4380,"Female"
"7",4380,"Female"
"8",4380,"Female"
"9",4440,"Female"
"10",4500,"Female"
"11",4500,"Female"
"12",4620,"Female"
"13",4800,"Female"
"14",4800,"Female"
"15",4800,"Female"
"16",4800,"Female"
"17",4800,"Female"
"18",4800,"Female"
"19",4800,"Female"
"20",4800,"Female"
"21",4800,"Female"
"22",4800,"Female"
"23",4980,"Female"
"24",5100,"Female"
"25",5100,"Female"
"26",5100,"Female"
"27",5100,"Female"
"28",5100,"Female"
"29",5100,"Female"
"30",5160,"Female"
"31",5220,"Female"
"32",5220,"Female"
"33",5280,"Female"
"34",5280,"Female"
"35",5280,"Female"
"36",5400,"Female"
"37",5400,"Female"
"38",5400,"Female"
"39",5400,"Female"
"40",5400,"Female"
"41",5400,"Female"
"42",5400,"Female"
"43",5400,"Female"
"44",5400,"Female"
"45",5400,"Female"
"46",5400,"Female"
"47",5400,"Female"
"48",5520,"Female"
"49",5520,"Female"
"50",5580,"Female"
"51",5640,"Female"
"52",5700,"Female"
"53",5700,"Female"
"54",5700,"Female"
"55",5700,"Female"
"56",5700,"Female"
"57",6000,"Female"
"58",6000,"Female"
"59",6120,"Female"
"60",6300,"Female"
"61",6300,"Female"
"62",4620,"Male"
"63",5040,"Male"
"64",5100,"Male"
"65",5100,"Male"
"66",5220,"Male"
"67",5400,"Male"
"68",5400,"Male"
"69",5400,"Male"
"70",5400,"Male"
"71",5400,"Male"
"72",5700,"Male"
"73",6000,"Male"
"74",6000,"Male"
"75",6000,"Male"
"76",6000,"Male"
"77",6000,"Male"
"78",6000,"Male"
"79",6000,"Male"
"80",6000,"Male"
"81",6000,"Male"
"82",6000,"Male"
"83",6000,"Male"
"84",6000,"Male"
"85",6000,"Male"
"86",6300,"Male"
"87",6600,"Male"
"88",6600,"Male"
"89",6600,"Male"
"90",6840,"Male"
"91",6900,"Male"
"92",6900,"Male"
"93",8100,"Male"
